quote,author
Lay low and boss up.,King Lowkey Tha Bread Winner
"Work hard in silence, let your success make the noise.",Frank Ocean
"In the end, we will remember not the words of our enemies, but the silence of our friends.",Martin Luther King Jr.
"Open the door of your calmness, and let the footsteps of silence gently enter the temple of all your activities.",Paramahansa Yogananda
A fish with his mouth closed never gets caught.,Fuad Alakbarov
Melanin Poppin' and No Worries!,Stephanie Lahart
"Accept it… Black women are beautiful, pretty, gorgeous, appealing, elegant, attractive, lovely, stunning, and exquisite.",Stephanie Lahart
"In the end, it's not the years in your life that count. It's the life in your years.",Abraham Lincoln
"You only live once, so enjoy the ride.",Oliver Gaspirtz
My complexion is exquisite!,Stephanie Lahart
Englishmen must have an island.,F. Scott Fitzgerald
We all draw breath and life from the same source of creation.,Bryant McGill
Today is a beautiful day simply because God made it!,Jesse Joseph
"In the beginning, God created the heavens and the earth.",Moses
"And God said, “Let there be light,” and there was light.",Moses
"We are God's productions, His compositions.",David Jeremiah
Each of us is a masterpiece of God's creation.,Pope Francis
Nature is the art of God.,Dante Alighieri
God loves you and created you in His own image.,Lailah Gifty Akita
Time was God's first creation.,Walter Lang
Chop your own wood and it will warm you twice.,Henry Ford
Keep your breath to cool your porridge.,Jane Austen
"Realize that if a door closed, it’s because what was behind it wasn’t meant for you.",Mandy Hale
Sometimes it takes a wrong turn to get you to the right place.,Mandy Hale
"If something is meant to be, then it will be.",Nina Agdal
Life is funny... we never know what's in store for us and time brings on what is meant to be.,April Mae Monterrosa
"Don't ever wish you were someone else, you were meant to be the way you are exactly.",Joey McIntyre
Life is meant to be lived.,Eleanor Roosevelt
Don't die without embracing the daring adventure your life is meant to be.,Steve Pavlina
The message coming back at all of us is: live without closure.,Terence McKenna
Believe that there's light at the end of the tunnel. Believe that you might be that light for someone else.,Kobi Yamada
"There is a light at the end of the tunnel, but the way out is through.",David Allen
"Remember, the light at the end of the tunnel may be you.",Aerosmith
Be your own hero.,Your World Within
Do something today that your future self will thank you for.,Sean Patrick Flanery
No duty is more urgent than giving thanks.,James Allen
It's Always Darkest Before the Dawn.,Joshua Spacht
Gratitude is the most important attitude.,Dalai Lama
A thankful heart is a magnet for miracles.,Vicki Becker
You don't ever ask a barber whether you need a haircut.,Warren Buffett
Be awesome. Live life to the fullest. Shoot for the stars and never settle.,Jillian Michaels
"If you can drink from the fountain, why then, should you request for a drink of water from the cup?",Michael Bassey Johnson
Don’t settle for good when you were destined to be great.,Charles F. Glassman
Don't settle for a normal life. Not when you can enjoy the wonderful weirdness of being who God created you to be.,Craig Groeschel
What you want exists. Don't settle until you get it.,Mel Robbins
"If life gives you lemons, don’t settle for simply making lemonade – make a glorious scene at a lemonade stand.",Elizabeth Gilbert
Never let anyone dull your sparkle.,Marilyn Monroe
Hope is the anchor of life.,Lailah Gifty Akita
Be strong. Even when you can’t be.,Saim Ahmed Cheeda
Ultimate hope constitutes the anchor of the soul.,Neal A. Maxwell
"Love is an anchor, it stops you from drifting away.",Robert Corbert
Purpose is like an anchor for our awareness.,Cynthia Yoder
The strongest anchor is hope.,Lailah Gifty Akita
A home creates an anchor for the rest of your life.,Ant Anstead
The soul would have no rainbow if the eyes had no tears.,John Vance Cheney
Wake in the morning with a winged heart and give thanks for another day of loving.,Kahlil Gibran
You light up my world like nobody else.,One Direction
Our light shall burn the pathway to the stars.,Mladen Đorđević
God always has a perfect plan!,Kim Zolciak-Biermann
